EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_CALLS
1518614019890,3,3,3,3,3,3,3,2
1518614020990,3,3,3,3,3,2,2,2
1518614021187,3,3,3,3,2,2,2,2
1518614027983,3,3,2,2,2,2,2,3
1518614054374,3,3,3,3,2,2,2,2
1518614071798,3,3,3,2,2,2,2,3
1518614072164,3,3,2,2,2,2,2,3
1518614095778,3,3,2,2,2,2,3,3
1518614126964,3,3,3,2,2,2,2,2
1518614130262,3,3,3,3,2,2,2,0
1518614132725,3,3,3,3,2,2,2,2
1518614143549,3,3,3,3,3,3,3,2
1518614147494,3,3,2,3,3,2,2,2
1518614175577,3,3,3,3,3,3,3,2
1518614176697,3,3,3,3,3,3,3,2
1518614218764,3,3,3,3,2,2,2,2
1518614235745,3,3,2,3,2,2,2,3
1518614264805,3,3,3,3,2,2,3,2
1518614326417,3,3,3,3,3,2,2,2
1518614362603,3,3,3,2,3,2,2,3
1518614380693,3,3,3,2,2,2,2,2
1518614394656,3,3,3,3,3,2,2,3
1518614415397,3,3,3,3,3,3,2,2
1518614422474,3,3,3,3,2,2,2,2
1518614433706,3,3,2,3,2,2,2,2
1518614470746,3,3,3,3,2,2,2,2
1518614474397,3,3,2,3,2,2,2,2
1518614483960,3,3,3,3,3,2,2,2
1518614495014,3,3,3,3,2,2,2,2
1518614508157,3,3,2,3,2,2,2,2
1518614510030,3,3,3,3,2,2,2,2
1518614513207,3,3,3,3,3,2,1,3
1518614522010,3,3,3,2,3,2,1,1
1518614536036,3,3,3,2,3,2,3,1
1518614552713,3,3,3,3,3,2,3,1
1518614565545,3,3,3,3,3,3,3,3
1518614584393,3,3,3,3,3,3,3,3
1518614585506,3,3,3,3,1,2,2,1
1518614600731,3,3,3,3,3,2,3,1
1518614615069,3,3,3,3,1,2,2,1
1518614629201,3,3,3,1,3,2,1,1
1518614641873,3,3,3,3,3,3,3,3
1518614686722,3,3,3,3,2,2,2,3
1518614692424,3,3,3,3,3,0,2,1
1518614717403,3,3,2,2,2,2,3,3
1518614810923,3,3,3,3,3,2,3,2
1518614832154,3,3,3,3,2,2,2,2
